Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
dario cesar galeana sanchez,Mexico,zihuatanejo de azueta,74,1 kg,AMECAFE,2012,2012-07-25,Typica,Washed,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.42,0.11,0,0.0,green,0,1300.0,1300.0,1300.0,Foundational/Mutation,1.0
jose daniel cobilt castro,Mexico,veracruz,26,1 kg,AMECAFE,2012,2012-07-11,Pacamara,Washed,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.14,0,0.0,green,6,1350.0,1350.0,1350.0,Hybrid,1.0
alvaro quiros perez,Mexico,xicotepec de juarez,10,1 kg,AMECAFE,2012,2012-07-03,Caturra,Washed,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.11,0,0.0,green,0,1150.0,1150.0,1150.0,Foundational/Mutation,1.0
olivia hernandez virves,Mexico,progreso santa rosa teocelo,1,1 kg,AMECAFE,2012,2012-06-06,Bourbon,Washed,7.67,7.58,7.33,7.42,7.58,7.33,10.0,10.0,10.0,7.5,82.42,0.13,0,0.0,green,4,1250.0,1250.0,1250.0,Foundational/Mutation,1.0
finca las nieves,Mexico,fln mirador,10,1 kg,AMECAFE,2012,2012-04-09,Typica,Washed,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0.0,green,0,1450.0,1450.0,1450.0,Foundational/Mutation,1.0
nucoffee,Brazil,south of minas,51,60 kg,NUCOFFEE,2012,2012-01-23,Arusha,Natural,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.11,0,0.0,green,2,1300.0,1310.64,1310.64,Specialty Regional,60.0
exportadora de cafe condor s.a,Colombia,huila,0,70 kg,Almacafé,2011,2011-09-22,Bourbon,Washed,7.58,7.25,7.42,7.25,7.58,7.83,10.0,10.0,10.0,7.5,82.42,0.02,0,0.0,green,1,1750.0,1750.0,1750.0,Foundational/Mutation,70.0
bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,2017,2017-04-06,Caturra,Washed,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.33,0.1,0,1.0,green,8,1396.0,1396.0,1396.0,Foundational/Mutation,69.0
pedro santos e silva,Brazil,cerrado,320,2 kg,Brazil Specialty Coffee Association,2016,2017-02-09,Catuai,Natural,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,82.33,0.11,0,3.0,green,11,982.0,982.0,982.0,Hybrid,2.0
gabriel barbara,Brazil,cerrado,305,59 kg,Brazil Specialty Coffee Association,2017,2016-10-13,Typica,Natural,7.42,7.42,7.42,7.5,7.5,7.58,10.0,10.0,10.0,7.5,82.33,0.11,0,4.0,green,14,1300.0,1310.64,1310.64,Foundational/Mutation,59.0
ipanema coffees,Brazil,south of minas,320,60 kg,Brazil Specialty Coffee Association,2016,2016-08-16,Bourbon,Natural,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,green,3,934.0,934.0,934.0,Foundational/Mutation,60.0
"ceca, s.a.",Costa Rica,tarrazu,100,69 kg,Specialty Coffee Association of Costa Rica,2015,2016-07-15,Caturra,Washed,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,82.33,0.1,6,1.0,green,3,1850.0,1850.0,1850.0,Foundational/Mutation,69.0
yunnan coffee exchange,China,xishuangbanna prefecture,3,60 kg,Yunnan Coffee Exchange,2015,2016-04-05,Catimor,Honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.5,82.33,0.12,0,6.0,green,2,1580.0,1580.0,1580.0,Hybrid,60.0
ipanema coffees,Brazil,south of minas,12,2 kg,Specialty Coffee Association,2016,2015-10-08,Bourbon,Natural,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,82.33,0.07,0,0.0,green,0,1268.0,1268.0,1268.0,Foundational/Mutation,2.0
bourbon specialty coffees,Brazil,chapadão de ferro (cerrado mineiro),300,60 kg,Brazil Specialty Coffee Association,2015,2015-04-20,Mundo Novo,Natural,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.42,82.33,0.11,0,0.0,green,10,1300.0,1310.64,1310.64,Hybrid,60.0
juan luis alvarado romero,Guatemala,huehuetenango,275,69 kg,Asociacion Nacional Del Café,2015,2015-03-10,Bourbon,Washed,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,7.42,82.33,0.1,0,0.0,green,6,1676.4,1676.4,1676.4,Foundational/Mutation,69.0
afca,Malawi,mzuzu,10,60 kg,Africa Fine Coffee Association,2014,2014-11-04,Gesha,Washed,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,7.58,82.33,0.12,0,0.0,green,0,1450.0,1450.0,1450.0,Geisha,60.0
ipanema coffees,Brazil,south of minas,10,2 kg,Specialty Coffee Association,2015,2014-10-15,Bourbon,Natural,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,82.33,0.11,0,0.0,green,0,1100.0,1100.0,1100.0,Foundational/Mutation,2.0
juan luis alvarado romero,Guatemala,jalapa,250,69 kg,Asociacion Nacional Del Café,2014,2014-06-10,Pacas,Washed,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,7.42,82.33,0.12,0,0.0,green,3,1524.0,1524.0,1524.0,Foundational/Mutation,69.0
dane loraas,Mexico,veracruz,320,5 lbs,Specialty Coffee Association,2014,2014-04-02,Bourbon,Washed,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,0.0,green,0,1300.0,1310.64,1310.64,Foundational/Mutation,5.0
the coffee source inc.,Colombia,antioquia,250,3 kg,Specialty Coffee Association of Costa Rica,2013,2014-01-21,Caturra,Washed,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,7.5,82.33,0.1,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,3.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,changhua baguashan 彰化市八卦山,10,20 kg,Blossom Valley International,2014,2013-12-26,Typica,Semi-Washed,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,0.11,0,0.0,green,0,200.0,200.0,200.0,Foundational/Mutation,20.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,taichung xinshe 台中市新社區,10,30 kg,Blossom Valley International,2014,2013-12-26,Typica,Washed,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,0.11,0,0.0,green,0,600.0,600.0,600.0,Foundational/Mutation,30.0
