Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"嘉義縣番路鄉 Fanlu Township, Chiayi County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Gesha,Natural,7.67,8.0,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,green,0,1350.0,1350.0,1350.0,Geisha,8.0
Manop Phiarchobphai,Thailand,"Mae Sariang, Mae Hong Son",34,30 kg,Coffee Quality Institute,2024,2024-07-12,Catimor,Washed,7.83,7.92,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.67,84.67,0.11,0,0.0,green,0,1100.0,1100.0,1100.0,Hybrid,30.0
Eric Gatheca Gitau,Kenya,MT KENYA,150,60 kg,Kenya Coffee Traders Association,2025,2025-03-25,SL28,Washed,7.75,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,green,5,1800.0,2150.0,1975.0,SL-Selection,60.0
Anusorn,Thailand,maechantai,2,10 kg,Specialty Coffee Institute of Thailand,2023,2024-10-29,Java,Washed,7.75,7.83,7.92,7.83,7.75,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,green,0,1300.0,1300.0,1300.0,Foundational/Mutation,10.0
Luca Costa,Zambia,Northern Province,70,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024,2024-10-28,Sarchimor,Natural,7.75,7.92,7.75,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,green-yellow,5,1600.0,1600.0,1600.0,Hybrid,60.0
Bạch Ngọc Hải,Vietnam,"Măng Đen, huyện Konplong, Kon Tum",250,60 kg,HQJ Coffee School,2024,2024-07-12,Mixed,Washed,7.67,7.92,7.67,8.0,7.83,7.75,10.0,10.0,10.0,7.75,84.58,0.11,0,0.0,green,0,1200.0,1200.0,1200.0,Other,60.0
Nutchicha Owatwaroj,Thailand,Thailand,1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Honey,7.75,8.08,7.58,7.83,7.83,7.75,10.0,10.0,10.0,7.75,84.58,0.13,0,0.0,green-yellow,2,1100.0,1200.0,1150.0,Hybrid,10.0
Ricardo Granados,Colombia,Antioquia,516,35 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024,2024-06-20,Colombia - Castillo,Washed,7.83,7.92,7.58,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.58,0.11,0,0.0,green,0,1750.0,1750.0,1750.0,Hybrid,35.0
Saenchai Jupo,Thailand,กัลยาณิวัฒนา,1,10 kg,Specialty Coffee Institute of Thailand,2023,2024-10-29,Bourbon,Natural,8.0,7.92,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84.58,0.1,0,0.0,green-yellow,0,1500.0,1500.0,1500.0,Foundational/Mutation,10.0
Peenarit Ponkhataigool,Thailand,"Klang Wiang, Wiang Sa, Nan",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Catimor mix and varieties,Washed,8.0,7.83,7.75,7.83,7.67,7.83,10.0,10.0,10.0,7.67,84.58,0.11,0,0.0,green,1,1450.0,1450.0,1450.0,Mixed,25.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"雲林縣古坑鄉 Gukeng Township, Yunlin County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023,2024-10-29,"60%SL34,40%Yellow Bourbon",Natural,7.92,7.75,7.83,7.75,7.67,7.83,10.0,10.0,10.0,7.83,84.58,0.1,0,0.0,green-yellow,0,880.0,880.0,880.0,Other,8.0
PUCHA ARYEE,Thailand,Chiangrai,1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-11-07,Bourbon,Natural,8.0,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.09,0,0.0,green,0,1300.0,1500.0,1400.0,Foundational/Mutation,10.0
Saenchai Jupo,Thailand,กัลยาณิวัฒนา,1,10 kg,Specialty Coffee Institute of Thailand,2020,2024-10-29,Bourbon,Washed,7.83,7.92,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.75,84.5,0.1,0,0.0,green,0,1500.0,1500.0,1500.0,Foundational/Mutation,10.0
Astrid Fabiola Campos Albeño,Guatemala,Huehuetenango,600,30 kg,Asociacion Nacional Del Café,2024,2024-05-14,Bourbon,Washed,7.58,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.75,84.5,0.1,0,1.0,green,3,1600.0,1600.0,1600.0,Foundational/Mutation,30.0
Yodying Phichayawanit,Thailand,"Ngop, Thung Chang, Nan",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Gesha,Washed,7.92,7.92,7.67,7.83,7.58,7.75,10.0,10.0,10.0,7.83,84.5,0.1,0,0.0,green,3,1200.0,1200.0,1200.0,Geisha,25.0
Astrid Fabiola Campos Albeño,Guatemala,Antigua,30,30 kg,Asociacion Nacional Del Café,2024,2024-04-26,Bourbon,Washed,7.5,7.92,7.75,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.5,0.09,0,1.0,green,2,1600.0,1600.0,1600.0,Foundational/Mutation,30.0
Raúl Vargas,Colombia,Cauca,285,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024,2024-05-30,Caturra,Washed,7.92,7.83,7.58,7.75,8.0,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,1.0,green,4,1800.0,1800.0,1800.0,Foundational/Mutation,70.0
ธัญรดา ศรีวิไชย,Thailand,ดอยเทพเสด็จ,1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Honey,7.83,8.0,7.5,7.92,7.67,7.83,10.0,10.0,10.0,7.75,84.5,0.08,0,0.0,green,0,1100.0,1100.0,1100.0,Hybrid,10.0
Judith Murimi,Kenya,CENTRAL KENYA,300,60 kg,Kenya Coffee Traders Association,2024,2024-08-05,SL28,Washed,7.67,7.83,7.75,7.67,8.0,7.75,10.0,10.0,10.0,7.83,84.5,0.12,0,0.0,green,5,1900.0,2200.0,2050.0,SL-Selection,60.0
Kantima Tadplevthong,Thailand,"Thep Sadet, Doi Saket, Chiang Mai",3,20 kg,Coffee Quality Institute,2024,2024-09-19,other,Natural,7.83,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.42,0.09,0,0.0,green-yellow,0,1450.0,1450.0,1450.0,Other,20.0
Dalanka Forest Farm,Vietnam,"Phú Xuân, Krông Năng, Đăk Lăk",8,60 kg,HQJ Coffee School,2024,2024-07-12,Catimor,Honey,8.08,7.83,7.67,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,green,0,650.0,650.0,650.0,Hybrid,60.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"花蓮縣光復鄉Hualien County,Guangfu Township",1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-04,Typica,Honey,7.75,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.42,0.1,0,0.0,brown,2,250.0,250.0,250.0,Foundational/Mutation,10.0
Edwin Lubis,Indonesia,Marancar,1,2 kg,5758 Coffee Lab,2024,2024-12-27,Sumatra,Honey,7.92,7.92,7.5,8.08,7.58,7.58,10.0,10.0,10.0,7.83,84.42,0.12,0,0.0,yellow,1,1300.0,1300.0,1300.0,Specialty Regional,2.0
กุลชญา จันทร์เที่ยง,Thailand,DoiSaket,1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Honey,8.0,8.0,7.58,7.83,7.75,7.58,10.0,10.0,10.0,7.67,84.42,0.1,0,0.0,green,1,1250.0,1250.0,1250.0,Hybrid,10.0
Hassadin Merlae,Thailand,Ban Doi-Ngam,2,10 kg,Specialty Coffee Institute of Thailand,2023,2024-11-07,Catimor,Natural,7.75,7.92,7.75,7.92,7.58,7.75,10.0,10.0,10.0,7.75,84.42,0.09,0,0.0,green-yellow,0,1350.0,1350.0,1350.0,Hybrid,10.0
Phichit Bunyuenphanakun,Thailand,Thailand,2,1000 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Natural,8.0,8.0,7.58,7.92,7.58,7.58,10.0,10.0,10.0,7.75,84.42,0.09,0,0.0,yellow,3,1400.0,1400.0,1400.0,Hybrid,1000.0
靜心恬咖啡農莊,Taiwan,復興區義興部落,1,5 kg,Blossom Valley International宸嶧國際,2025,2025-03-19,Typica,Natural,7.92,7.92,7.83,7.58,7.75,7.67,10.0,10.0,10.0,7.67,84.33,0.1,0,0.0,green-yellow,2,400.0,400.0,400.0,Foundational/Mutation,5.0
Radchadaporn,Thailand,"Omkoi,Chiangmai,Thailand",2,25 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,"Catimor ,Typica, Bourbon",Carbonic Maceration,8.0,8.17,8.08,8.08,7.92,8.0,8.0,10.0,10.0,8.08,84.33,0.1,0,0.0,green,0,1200.0,1200.0,1200.0,Other,25.0
pablo velosa,Colombia,Popayán Cauca,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024,2024-12-05,Castillo/Caturra,Washed,7.83,7.75,7.67,7.92,7.83,7.67,10.0,10.0,10.0,7.67,84.33,0.11,0,2.0,green,3,1700.0,1700.0,1700.0,Other,30.0
Kompit Panasupon,Thailand,"Luang Nuea,Doi Saket,Chiang Mai",3,20 kg,Coffee Quality Institute,2024,2024-09-19,Catimor,Natural,7.83,7.75,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.75,84.33,0.1,0,0.0,green,3,1400.0,1400.0,1400.0,Hybrid,20.0
Wicha Saenrungarun,Thailand,"Ngop, Thung Chang, Nan",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Java,Washed,8.17,7.92,7.58,7.92,7.67,7.5,10.0,10.0,10.0,7.58,84.33,0.1,0,0.0,green,1,1550.0,1550.0,1550.0,Foundational/Mutation,25.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"嘉義縣阿里山鄉 Alishan Township, Chiayi County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Gesha,Natural,7.83,7.83,7.67,7.83,7.58,7.75,10.0,10.0,10.0,7.75,84.25,0.1,0,0.0,green,0,1200.0,1200.0,1200.0,Geisha,8.0
Thanyavit Kuakunrittiwong,Thailand,"Pha Lung, Chiang Rai",1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Honey,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.58,84.25,0.12,0,0.0,yellow,1,1250.0,1250.0,1250.0,Hybrid,10.0
Saenchai Jupo,Thailand,"Ban Chan, Galyani Vadhana, Chiang Mai",2,25 kg,Coffee Quality Institute,2024,2024-10-14,"Bourbon, Typica, Catimor",Washed,8.08,7.75,7.67,7.92,7.58,7.58,10.0,10.0,10.0,7.67,84.25,0.11,0,0.0,green,1,1200.0,1200.0,1200.0,Other,25.0
Lê Huyền Ngọc Thy,Vietnam,"Trạm Hành, Cầu Đất, Đà Lạt, Lâm Đồng",5,60 kg,HQJ Coffee School,2020,2024-07-12,TN9-TN10,Washed,7.67,7.75,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.25,0.12,0,0.0,green,4,1550.0,1550.0,1550.0,Other,60.0
Chatchai,Thailand,Nortren,10,30 kg,Specialty Coffee Institute of Thailand,2024,2024-11-07,Typica,Washed,7.92,7.83,7.67,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,0.1,0,0.0,green,0,1500.0,1500.0,1500.0,Foundational/Mutation,30.0
Astrid Fabiola Campos Albeño,Guatemala,Huehuetenango,600,30 kg,Asociacion Nacional Del Café,2024,2024-05-14,Bourbon,Washed,7.58,7.92,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.25,0.09,0,1.0,green,3,1400.0,1400.0,1400.0,Foundational/Mutation,30.0
Phichit Bunyuenphanakun,Thailand,Thailand,2,1000 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Honey,7.67,7.92,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.83,84.25,0.09,0,0.0,green,3,1400.0,1400.0,1400.0,Hybrid,1000.0
KINGCAR,Nicaragua,"MATAGALPA, Nicaragua",20,1000 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2025-01-02,Caturra/Catuai,Washed,7.83,7.92,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,green-yellow,0,1250.0,1400.0,1325.0,Mixed,1000.0
Tanagrit Rungpokinan,Thailand,"Doi Suan Ya Luang, Nan",25,20 kg,Coffee Quality Institute,2024,2024-07-12,Catimor,Washed,7.67,7.75,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.67,84.17,0.1,0,0.0,green,5,1300.0,1300.0,1300.0,Hybrid,20.0
KINGCAR,Colombia,HUILA,550,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2025-01-02,"Castillo, Colombia",Washed,7.83,7.83,7.67,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.17,0.11,0,0.0,green-yellow,0,1600.0,1600.0,1600.0,Other,35.0
ANDREAS KUSSMAUL,Mexico,La Concordia,600,18000 kg,Centro Agroecológico del Café A.C.,2024,2024-07-31,Typica,Washed,7.92,7.92,7.67,7.67,7.58,7.75,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,green,4,985.0,985.0,985.0,Foundational/Mutation,18000.0
banaa,Vietnam,"Thôn 3, Đắk Mar, Đắk Hà, Kon Tum",250,60 kg,HQJ Coffee School,2024,2024-07-12,THA1,Natural,8.0,7.75,7.58,7.83,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,green,3,1300.0,1300.0,1300.0,Other,60.0
Nathagrid Somboonkhamchoo,Thailand,"Mae daet noi ,Chiangmai",1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Natural,7.67,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.83,84.17,0.08,0,0.0,yellow,0,1300.0,1300.0,1300.0,Hybrid,10.0
KINGCAR,Colombia,Huila,275,70 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2025-01-02,"Castillo, Colombia, Caturra",Washed,7.58,7.75,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.12,0,0.0,green-yellow,0,1200.0,2000.0,1600.0,Other,70.0
Luca Costa,Zambia,Northern Province,444,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024,2024-10-24,Sarchimor,Washed,7.58,7.75,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.12,0,0.0,green,2,1600.0,1600.0,1600.0,Hybrid,60.0
Reza Burhanuddin,Indonesia,SIPIROK,1,2 kg,5758 Coffee Lab,2024,2024-12-27,Sumatra,Washed,7.67,7.75,7.58,7.58,7.58,7.67,10.0,10.0,10.0,8.33,84.17,0.13,0,3.0,green,1,1000.0,1000.0,1000.0,Specialty Regional,2.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"嘉義縣竹崎鄉 Zhuqi Township, Chiayi County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,SL34,Natural,7.83,7.83,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,84.17,0.11,0,0.0,yellow,0,1150.0,1150.0,1150.0,SL-Selection,8.0
祖嵐咖啡莊園,Taiwan,桃園市復興區義盛里大利幹部落,8,250 kg,Blossom Valley International宸嶧國際,2023,2024-05-06,Gesha,Natural,7.83,8.0,7.67,7.83,7.42,7.67,10.0,10.0,10.0,7.75,84.17,0.1,0,0.0,green-yellow,8,450.0,450.0,450.0,Geisha,250.0
Kanjana Inja,Thailand,"Thung Chang, Thung Chang, Nan",3,20 kg,Coffee Quality Institute,2024,2024-09-19,Typica,Natural,7.92,7.75,7.67,7.83,7.58,7.58,10.0,10.0,10.0,7.75,84.08,0.1,0,0.0,green,1,1468.0,1468.0,1468.0,Foundational/Mutation,20.0
Akkhadet Piaocheku,Thailand,"Wawi, Mae Suai, Chiang Rai",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Mixed: unknown variety,Washed,7.67,7.92,7.67,7.83,7.67,7.58,10.0,10.0,10.0,7.75,84.08,0.09,0,0.0,green,0,1300.0,1300.0,1300.0,Mixed,25.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"苗栗縣泰安鄉 Tai'an Township, Miaoli County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023,2024-10-29,Arabica,Honey,7.75,7.83,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.08,0.11,0,0.0,green,0,780.0,780.0,780.0,Other,8.0
Hương Lương Thị,Vietnam,"Dak Mil , Dak Nong",8,60 kg,HQJ Coffee School,2024,2024-07-12,Catimor,Honey,7.5,7.83,7.75,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.11,0,0.0,green,0,1500.0,1500.0,1500.0,Hybrid,60.0
Evelin Isabel Hernández Paxtor,Guatemala,Sierra De Las Minas,300,30 kg,Asociacion Nacional Del Café,2025,2025-03-31,Caturra,Washed,7.67,7.83,7.5,7.83,7.67,7.83,10.0,10.0,10.0,7.75,84.08,0.1,0,2.0,green,2,1500.0,1600.0,1550.0,Foundational/Mutation,30.0
Wiritphon Chokphattarachai,Thailand,"Mae Hi, Mae Hong Son",22,25 kg,Coffee Quality Institute,2024,2024-07-12,"Mixed variety: Caturra, Bourbon, Catimor",Washed,7.83,7.75,7.67,7.67,7.75,7.67,10.0,10.0,10.0,7.75,84.08,0.09,0,0.0,green-yellow,3,1400.0,1400.0,1400.0,Other,25.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Ethiopia,Yirgacheffe,320,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-11-27,Heirloom Yirgacheffe Varietal,Natural,7.83,7.75,7.75,7.67,7.58,7.75,10.0,10.0,10.0,7.75,84.08,0.11,0,0.0,green-yellow,0,2200.0,2300.0,2250.0,Ethiopian Heirloom,60.0
Thuantong Homdok,Thailand,"Thung Chang, Nan",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Java,Honey,7.83,7.75,7.58,7.75,7.92,7.58,10.0,10.0,10.0,7.67,84.08,0.1,0,0.0,green,1,1550.0,1550.0,1550.0,Foundational/Mutation,25.0
CARABU COFFEE,Vietnam,Buon Ma Thuot City,12,25 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2024,2024-10-29,Blue Mountain,Natural,7.92,7.75,7.58,7.92,7.5,7.58,10.0,10.0,10.0,7.75,84.0,0.12,0,0.0,yellow,3,500.0,500.0,500.0,Specialty Regional,25.0
tramhamincoffee,Vietnam,"Trạm Hành, Đà Lạt, Lâm Đồng",50,60 kg,HQJ Coffee School,2024,2024-07-12,Catimor,Natural,7.83,7.75,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,84.0,0.11,0,0.0,green,1,1600.0,1600.0,1600.0,Hybrid,60.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"台南市東山區 Dongshan Dist., Tainan City",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-07-22,Gesha,Natural,7.83,7.75,7.75,7.58,7.58,7.75,10.0,10.0,10.0,7.75,84.0,0.11,0,0.0,green,3,700.0,700.0,700.0,Geisha,5.0
Chatchai,Thailand,Northen of Thailand,10,20 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Typica,Natural,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.09,0,0.0,green,4,1500.0,1500.0,1500.0,Foundational/Mutation,20.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"嘉義縣阿里山鄉 Alishan Township, Chiayi County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Gesha,Natural,8.0,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.67,84.0,0.11,0,0.0,green,0,1250.0,1250.0,1250.0,Geisha,8.0
Vasin Khotchasarn,Thailand,chiang rai,1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-11-07,Catuai,Honey,8.0,7.75,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,84.0,0.11,0,0.0,green-yellow,0,1100.0,1100.0,1100.0,Hybrid,10.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"台南市東山區 Dongshan Dist., Tainan City",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-07-22,Gesha,Honey,7.92,7.83,7.67,7.67,7.5,7.67,10.0,10.0,10.0,7.75,84.0,0.11,0,0.0,green,1,700.0,700.0,700.0,Geisha,5.0
Doi Tung Development Project,Thailand,North of Thailand,2,1 kg,FABB Academy of Coffee,2024,2024-06-26,Bourbon,Washed,7.67,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,7.83,84.0,0.1,0,0.0,green,0,1200.0,1580.0,1390.0,Foundational/Mutation,1.0
黃俊億,Taiwan,桃園市復興區志繼部落,1,8 kg,Blossom Valley International宸嶧國際,2025,2025-03-19,SL34,Washed,7.67,7.75,7.75,7.83,7.58,7.75,10.0,10.0,10.0,7.67,84.0,0.11,0,0.0,green,0,580.0,580.0,580.0,SL-Selection,8.0
Warit Mantawali,Thailand,"Wawi, Mae Suai, Chiang Rai",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Catimor,Washed,7.42,7.83,7.83,7.83,7.83,7.67,10.0,10.0,10.0,7.58,84.0,0.1,0,0.0,green,3,1350.0,1350.0,1350.0,Hybrid,25.0
Carlos Roberto Guillen Castro,El Salvador,Apaneca - Ilamatepec,121,30 kg,Instituto Salvadoreño del Café,2024,2024-05-30,Bourbon,Washed,7.83,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.0,0.12,1,0.0,green,3,1800.0,1800.0,1800.0,Foundational/Mutation,30.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"花蓮縣玉里鎮 Sanmin, Yuli Township, Hualien County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Typica,Honey,7.83,7.75,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.67,83.92,0.1,0,0.0,green,0,500.0,700.0,600.0,Foundational/Mutation,8.0
Kaso Payungkarawek,Thailand,"Omkoi, Omkoi, Chiang Mai",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Mixed: unknown variety,Washed,7.75,7.75,7.58,7.83,7.58,7.75,10.0,10.0,10.0,7.67,83.92,0.1,0,0.0,green,4,1350.0,1350.0,1350.0,Mixed,25.0
Kraisak Sanmee,Thailand,"Huai Chomphu, Mueang Chiang Rai ,Chiang Rai",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Catimor,Honey,7.58,7.67,7.42,7.75,7.92,7.67,10.0,10.0,10.0,7.92,83.92,0.1,0,0.0,green,0,1300.0,1300.0,1300.0,Hybrid,25.0
Phichit Bunyuenphanakun,Thailand,"Doi Wawee, Chiang Rai",50,41 kg,Coffee Quality Institute,2024,2024-07-12,Catimor,Washed,7.83,7.83,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.75,83.92,0.11,0,0.0,green,5,1300.0,1300.0,1300.0,Hybrid,41.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"台南市東山區 Dongshan Dist., Tainan City",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-07-22,Gesha,Honey,7.92,7.83,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.92,0.11,0,0.0,green,0,700.0,800.0,750.0,Geisha,5.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"台南市東山區 Dongshan Dist., Tainan City",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Gesha,Natural,7.67,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.83,0.11,0,0.0,green,0,720.0,720.0,720.0,Geisha,8.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"南投縣仁愛鄉 Ren'ai Township, Nantou County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,SL34,Natural,7.67,7.83,7.75,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.83,0.11,0,0.0,green,0,1400.0,1400.0,1400.0,SL-Selection,8.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"屏東縣泰武鄉 Taiwu Township, Pingtung County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Typica,Washed,7.58,7.75,7.67,7.67,7.58,7.75,10.0,10.0,10.0,7.83,83.83,0.1,0,1.0,green,0,900.0,900.0,900.0,Foundational/Mutation,8.0
Bantita Chayanto,Thailand,"Chae Son, Mueang Pan, Lampang",2,25 kg,Coffee Quality Institute,2024,2024-09-19,Other: unknown variety,Washed,7.75,7.83,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.67,83.83,0.11,0,0.0,green,2,1200.0,1200.0,1200.0,Other,25.0
Jakkaphat Pithakanantakul,Thailand,"Ngop, Thung Chang, Nan",3,20 kg,Coffee Quality Institute,2024,2024-09-19,Other: unknown variety,Natural,7.83,7.75,7.67,7.67,7.58,7.75,10.0,10.0,10.0,7.58,83.83,0.1,0,0.0,green,2,1400.0,1400.0,1400.0,Other,20.0
Asadawoot Yapaenggoo,Thailand,"PangKhon, Chiangrai, Thailand",1,10 kg,Specialty Coffee Institute of Thailand,2024,2024-10-29,Catimor,Natural,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.11,0,0.0,green,0,1250.0,1400.0,1325.0,Hybrid,10.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"南投縣魚池鄉 Yuchi Township, Nantou County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Gesha,Natural,7.58,7.83,7.75,7.83,7.42,7.58,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,green,0,700.0,700.0,700.0,Geisha,8.0
Sucafina Colombia SAS,Colombia,Huila,250,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024,2024-06-20,Blend,Washed,7.83,7.75,7.5,7.5,7.83,7.58,10.0,10.0,10.0,7.75,83.75,0.12,0,0.0,green,5,1700.0,1700.0,1700.0,Mixed,70.0
Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,"宜蘭縣員山鄉 Yuanshan Township, Yilan County",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023,2024-10-29,SL34,Natural,7.75,7.58,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.1,0,0.0,green,2,345.0,345.0,345.0,SL-Selection,8.0
